Position,Frame,mean_curved,volume_curved,mean_background,mask_mean,mask_area,mask_eccentricity,mask_centroid_x,mask_centroid_y,mask_total
52,189,107.53567436661699,10736.0,106.39323144104803,189.52173913043478,1978.0,0.9111222144553476,527.830131445905,643.571789686552,2036.0
53,189,121.3826565726084,1453.0,117.42278287461774,186.38618925831202,391.0,0.8470102386946954,1081.3529411764705,741.6035805626599,391.0
54,189,109.2803479003255,18741.0,107.47882882882882,635.7876306128212,3541.0,0.797301187590486,691.4368822366563,332.46766450155326,3541.0
55,189,,,,,,,,,
56,189,130.51440329218107,243.0,122.31420765027322,180.49382716049382,81.0,0.8255275493315576,509.2098765432099,669.9506172839506,81.0
57,189,113.73077934025495,15218.0,110.93687624750498,190.5807078957604,2571.0,0.7956840857598554,659.2567094515753,654.7016725009723,2571.0
58,189,127.48780487804878,123.0,126.35714285714286,155.09756097560975,41.0,0.9691648560922789,861.5853658536586,576.9756097560976,267.0
59,189,113.3153841533009,249705.0,113.57057936296691,2036.2134922628131,51763.0,0.9700495659453919,1065.0905279833084,347.34771941348066,51763.0
5,189,152.94422535211268,14200.0,132.02999702999702,195.57848633496846,2854.0,0.7859491592599496,620.7249474421864,454.5,17058.0
60,189,126.58093525179856,1112.0,122.38070175438597,188.7668918918919,296.0,0.9722845164526456,453.18581081081084,1050.7736486486488,711.0
61,189,112.49438695384192,524047.0,116.58208383495676,198.08773564008337,176063.0,0.9416407373619845,201.15981211270966,763.5888176391405,176230.0
62,189,108.65284432064377,484650.0,114.24997557687423,253.5112622356822,73964.0,0.8905253152508613,1027.0486182467146,894.876629170948,74024.0
63,189,108.84716384255728,753925.0,113.84711437267116,258.4117049258728,117096.0,0.9244280225585007,665.0145094623215,960.6392703422832,420234.0
64,189,108.19649542073779,950699.0,109.66667520787158,250.24968374557068,143081.0,0.6356550273644824,438.468154402052,818.7971009428226,143081.0
65,189,,,,,,,,,
66,189,,,,,,,,,
67,189,,,,,,,,,
68,189,122.64864864864865,74.0,119.10555555555555,178.60416666666666,48.0,0.8794186547510109,709.5208333333334,507.5,198.0
69,189,126.5985552115583,969.0,123.12589559877175,189.68217054263565,258.0,0.6887234379060223,471.48837209302326,529.577519379845,1026.0
6,189,155.35094950684527,6793.0,146.77067868504773,203.8772826880935,1369.0,0.8393749145176105,855.9656683710738,642.7669831994157,8754.0
70,189,106.96232297638991,768824.0,111.20259156680986,245.37149137964136,104172.0,0.7613325245812533,887.846686249664,253.0068828475982,113232.0
71,189,125.21052631578948,57.0,123.38251366120218,178.05263157894737,19.0,0.6336993002596786,609.6842105263158,817.0,47.0
72,189,107.09830809651027,813758.0,111.73450208550574,230.44565197637436,110050.0,0.9673829337971558,1038.389395729214,490.89865515674694,220157.0
73,189,108.58524237477394,647489.0,113.54678614244874,247.7471135094978,96917.0,0.9364855790670753,474.72937668314125,317.9287225151418,97093.0
